uid,bucket,n_sents,rank_Y_c,n_sents_minus_1,max_x_stable,sigma_max,sigma_at_eff_rank,energy_top1,energy_top2,energy_top4,energy_top8,energy_top16,energy_top32
AHS4PZFYYBOPFTPEMD2NEQZ4LMIA,7,204,202,203,202,21.53767134918004,9.264930596790649e-15,0.060776384670436244,0.10175727039590922,0.15460195637220828,0.2394708883772861,0.3649847659668531,0.5292318331244656
AEIIRIHLIYKQGI7ZOCIJTRDF5NPQ_2_2_2_1,9,623,616,622,616,36.122011290629466,2.1710929653789288e-14,0.05792730024894756,0.09191915257779096,0.14515065416507736,0.21426927922734018,0.3117122936264234,0.43561625383446173
AHUQHUKMW2VDHUHTAWQVVYYNER4Q,0,104,103,103,103,14.107659806532235,1.945329705809477e-14,0.05661170371514036,0.10186026295981497,0.1746666037605385,0.28660925008170873,0.4476669429172409,0.6582104772690219
AGWUPUBODLPBDOKF7WR3NZLSQIXQ,7,208,207,207,207,21.447789952411505,9.832992258500625e-15,0.05613028973920201,0.0958584557857132,0.15289483192682327,0.23856043960019765,0.36655454038899654,0.5343407198678488
AHU5CEFMHIARA3FUDNNHQJTVKEDA,7,198,177,197,177,21.27465493859242,1.6817619906877504e-14,0.04548262682770151,0.08781729579203168,0.14187588280690708,0.22547430989113926,0.35112002812427273,0.5217064786464277
AGKLWN6DDVBZBLGPZQMUJ4JPQZGQ,5,152,151,151,151,17.388497449877594,1.2382463647669334e-14,0.05259437011624502,0.09016372891241282,0.15495584097064347,0.2490298889636669,0.3882415731005176,0.5706002153429718
AFAK7NZ77T2ZVYBFTUDUE6SA3O2A,1,110,98,109,98,17.98416839232142,4.189866225185105e-14,0.06791265450708285,0.10982230038606737,0.17277880241973856,0.28056666899747246,0.4393622630069334,0.6546226647213622
AG6WNZI5AD2JASG4KJ6XKCEB5YBA,6,168,167,167,167,18.41911134585232,9.164561069714271e-15,0.05847507142682511,0.09698503408648379,0.15919646217578717,0.25224034330242684,0.38567258931955806,0.5643357130970853
AGGYJDBFHKHKTL7YZ5QA4RYUZDTQ,0,105,104,104,104,16.86005720371094,2.0775207960874972e-14,0.06004993629498102,0.10235701436664157,0.16615254175947372,0.26995371055688194,0.42482191734551755,0.6344587023382062
AGEECCQF4MDXAP7RJDDPHK4U54FQ,9,398,386,397,386,26.978444850327516,1.7346361716347014e-14,0.05558324568829728,0.09110128979909354,0.1443217581883367,0.2124902060073604,0.31964606204725426,0.4611202821461292
AFXQNAXCDTJ2SQDCNSM5ZGBKQJ7A,3,128,127,127,127,18.79933410845109,2.805797383499531e-14,0.057500178274516124,0.10290481291098846,0.17419939633689824,0.2812395850180538,0.42515062488695515,0.6157878283577938
AFKX24ALWAPX366KX6DWTOBWLQAA,3,125,124,124,124,17.274648425597942,6.336179954032719e-14,0.05931862167322113,0.10484875297244327,0.16850206528532258,0.2622369691455447,0.4098272200562645,0.6155730621085477
AFU7OPCX5SYLPSLCFPGBVX7ZDS4Q,3,120,119,119,119,15.934868245182983,2.4800637744558333e-14,0.06669060329128311,0.10588262738889122,0.17307310656353292,0.2834114420373845,0.4396878832603931,0.6387005374995014
AFG4FX7JY6KEFFNXB2YGSIZ7HWHQ,4,131,122,130,122,18.885810211247755,2.0876182070321634e-14,0.058883473027130755,0.10191840810273138,0.1677006941235119,0.26490591137225855,0.41224821784072724,0.6146575080575282
AGF6TCJ5DIUYHXKWWLFKAY2HUIXQ,9,740,713,739,713,40.72952854824027,2.5296992762325804e-14,0.06021472422093083,0.09414446391263959,0.14593381624614038,0.21682502951672375,0.3224282356453074,0.4564788078995403
AHMGXQ4SWFPAMMIL7HMV2B5JXRRA,4,135,133,134,133,17.514528056419916,9.484475350885066e-15,0.06247876292995008,0.10257155705207871,0.1680149740851235,0.2697757839225053,0.41221286722613526,0.6049856674346034
AFIYJLRZHK7C4B5QSZAGSGZVVAJA,1,106,52,105,52,16.96550267615208,4.501219938875073e-14,0.07009621416311201,0.13048439549009022,0.2249221783336394,0.37960913827246373,0.6058094760584943,0.8666444951779213
AEDVEEUD4NZX7NYETDDN5N3HBJEA,9,1486,1302,1485,1302,55.539907747409515,5.005835149802662e-14,0.04604189170050402,0.07839007640052788,0.11527126143383119,0.17082951478025127,0.25122787878470854,0.35966672565473173
AENEBO2ESDZSB3GSHROPTRBAN2VA,8,298,297,297,297,26.6492291668075,1.6298699789317326e-14,0.051341259314145835,0.0841535442898426,0.13446899860958034,0.2082180332654203,0.3130794557059181,0.45656191440682964
AEC26YK5DEVHDZ6CSRFPRNWERT3Q,7,230,178,229,178,22.87391248864326,1.2051535361296044e-14,0.04901878665880452,0.08685949702424407,0.15015189447305344,0.24971559100387974,0.39020560555092787,0.5669585884940479
AHDY5AR2HZ2ERNZYAHL4XNP6F4JQ,8,249,225,248,225,25.980257315620577,1.5832699518784104e-14,0.0740806148197305,0.11603974108116023,0.18084565629823485,0.27156936537092313,0.39637515417072505,0.5575825219962679
AEY4MJXI33M7Z5PXZG7QI76OJFCA,1,111,110,110,110,17.507354542420412,1.5151702296378094e-14,0.08384675085569829,0.12399123358946273,0.1893535272760465,0.2963421478573064,0.449049083277068,0.6513321118677591
AHB5KUPK5G3TCAYG5FVU6FZTZNXA,6,170,169,169,169,19.511535941831674,8.100586228746451e-15,0.06480876605858733,0.10646334658699254,0.16870362853781248,0.25768117369881566,0.39185011183384105,0.566583837984364
AGZS56ZTPGFUCMXBRIJ3OAGH3KZQ,4,131,120,130,120,17.95076379094888,2.4311269581721352e-14,0.058672437166067355,0.10065052263775943,0.17261421261796298,0.2804300351582596,0.4355402817405439,0.6364368919229605
AHY5FPL6HYSJSWRQ4555NGCOHSYA,4,132,98,131,98,20.714568870340056,2.722901411467902e-14,0.08014818836965885,0.14862723543345394,0.25974995514026844,0.4352767651834255,0.6146583535232466,0.7810480178715186
AHRSEQIU4DBPAPKJDIYAWCYBYPSQ,3,127,126,126,126,17.898095646211495,3.132275742407322e-14,0.055536096972033225,0.09677991053145873,0.15191377015511048,0.2428122330377446,0.3832138383507392,0.583552244009244
