uid,seed,K_A,n_unique_rules_A,C_B,C_B_LB,lambda_min_A,tr_A,beta_A,v_A,lambda_min_boot_q05,B_B,c_B
AE4SBEJSCJAWM7CRKJDBQF3O7RGA,20260101,29,40,0.8310502283105022,0.7494923499236659,2.3342538266906444e-05,0.8539626654064268,0.0008747000949807385,0.02668633329395084,-1.2894050128596493e-17,219,0.20780655354971053
AE4SBEJSCJAWM7CRKJDBQF3O7RGA,20260202,29,40,0.8310502283105022,0.7494923499236659,0.00016254134574504044,0.8942344045368619,0.005816509672914164,0.027944825141776933,-1.6651512814787474e-17,219,0.20780655354971053
AE4SBEJSCJAWM7CRKJDBQF3O7RGA,20260303,29,40,0.8310502283105022,0.7494923499236659,0.00016378688816118364,0.8598724007561437,0.006095300205645575,0.02687101252362949,-1.7304393400633898e-17,219,0.20780655354971053
AEX6F3NHCLMPXTPAS2CVOUQMOEUA,20260101,27,34,0.8392857142857143,0.7458253486670536,2.6527968054096237e-05,0.8217732860110802,0.0010330038615049767,0.025680415187846257,-3.374775000515459e-17,168,0.23726116374341422
AEX6F3NHCLMPXTPAS2CVOUQMOEUA,20260202,27,34,0.8392857142857143,0.7458253486670536,2.519725062033002e-06,0.8402765754847643,9.595793139721774e-05,0.026258642983898885,-3.072067010457227e-17,168,0.23726116374341422
AEX6F3NHCLMPXTPAS2CVOUQMOEUA,20260303,27,34,0.8392857142857143,0.7458253486670536,7.5303074749490305e-06,0.8247002683518008,0.0002921908097349812,0.025771883385993774,-3.037277067826126e-17,168,0.23726116374341422
AHTUMCM7WLMQFR4ZZQY6V3DOYTGQ,20260101,15,18,0.8589743589743589,0.7172423250926427,-2.6682266847295884e-17,0.7671118079584774,-1.1130483591248343e-15,0.02397224399870242,-7.628614222308631e-17,78,0.3482041924133042
AHTUMCM7WLMQFR4ZZQY6V3DOYTGQ,20260202,15,18,0.8589743589743589,0.7172423250926427,-3.063524978088023e-17,0.8050659602076123,-1.217698973057261e-15,0.025158311256487886,-7.525873896125412e-17,78,0.3482041924133042
AHTUMCM7WLMQFR4ZZQY6V3DOYTGQ,20260303,15,18,0.8589743589743589,0.7172423250926427,-4.10869443393884e-17,0.7844939446366779,-1.675962227432288e-15,0.024515435769896184,-7.066548445350986e-17,78,0.3482041924133042
AF4IFF3OA55YOWXILYETWH57F7UQ,20260101,30,42,0.8786764705882353,0.8134201549786246,0.00012287854518378642,0.8405435220107036,0.004678060496468966,0.026266985062834487,-9.032217376812772e-18,272,0.1864647937309649
AF4IFF3OA55YOWXILYETWH57F7UQ,20260202,30,42,0.8786764705882353,0.8134201549786246,0.0002063104511706444,0.8932372803029172,0.007391019814154817,0.02791366500946616,-5.709215543514272e-18,272,0.1864647937309649
AF4IFF3OA55YOWXILYETWH57F7UQ,20260303,30,42,0.8786764705882353,0.8134201549786246,0.00019855669218986918,0.8362054829236294,0.007598388529887345,0.02613142134136342,-9.884738253475702e-18,272,0.1864647937309649
AFIMONJ5LR4L5EUEJQVO4ISN43SA,20260101,20,23,0.6857142857142857,0.5126871880117252,-1.6260085377862455e-17,0.8525694444444445,-6.102995310026081e-16,0.02664279513888889,-5.093437479548174e-17,70,0.36756341435201373
AFIMONJ5LR4L5EUEJQVO4ISN43SA,20260202,20,23,0.6857142857142857,0.5126871880117252,-3.137273501437606e-17,0.8685069444444442,-1.1559234233897967e-15,0.02714084201388888,-5.825148934203672e-17,70,0.36756341435201373
AFIMONJ5LR4L5EUEJQVO4ISN43SA,20260303,20,23,0.6857142857142857,0.5126871880117252,-2.3265121219908328e-17,0.8508333333333331,-8.7500553853524e-16,0.02658854166666666,-4.824681691018206e-17,70,0.36756341435201373
AEW6LYMS7YOBKV3SAOVF7RZZMBOA,20260101,23,27,0.8272727272727273,0.7058936495321909,-2.483849414014076e-17,0.7697428833792468,-1.0325939084946323e-15,0.024054465105601462,-4.342564025173072e-17,110,0.2932141700951977
AEW6LYMS7YOBKV3SAOVF7RZZMBOA,20260202,23,27,0.8272727272727273,0.7058936495321909,-1.1261681066388203e-17,0.840373431282522,-4.288257823363645e-16,0.02626166972757881,-4.785108334168954e-17,110,0.2932141700951977
AEW6LYMS7YOBKV3SAOVF7RZZMBOA,20260303,23,27,0.8272727272727273,0.7058936495321909,-1.2741093587578139e-17,0.7913988368533824,-5.1518270664079245e-16,0.0247312136516682,-4.522978562543315e-17,110,0.2932141700951977
AH43LZPH7256CHBSEDLZL4D3XWSA,20260101,17,20,0.8627450980392157,0.6803808599623558,-2.5293320553040605e-17,0.8616563360881542,-9.393376730354512e-16,0.026926760502754818,-4.979562264282231e-17,51,0.4306219954198425
AH43LZPH7256CHBSEDLZL4D3XWSA,20260202,17,20,0.8627450980392157,0.6803808599623558,-4.4907354259471636e-17,0.8989612029384755,-1.5985510071021857e-15,0.02809253759182736,-6.969168535984706e-17,51,0.4306219954198425
