uid,n_u,n_sents_user,rank_Y_c,n_u_minus_1,rank_deficient,sigma_max,energy_top1,energy_top2,energy_top4,energy_top8,energy_top16
AHSJV4Z2EO6XENPW32PHQA7PB4RQ,50,108,49,49,False,11.676565483548535,0.07224728241993102,0.13063644083958717,0.22968737205988646,0.38023501454998,0.5995057269323663
AF3XL6NAZUIRBPWC32GOBE6WCQ4Q,50,121,49,49,False,12.71357233612317,0.09142556961539211,0.14182086164310356,0.23664265292644263,0.38525802104039386,0.6051068618192956
AHGCYIJQ6PPNWPUDGTFCTNOVRB3Q,50,272,49,49,False,10.915798499028604,0.07930954264602977,0.1336477820300144,0.22883150553036175,0.38115664397896887,0.61016597343141
AHM7F4GRRASR5R4HCACGTBSWQWMA,50,390,48,49,True,10.809075182478082,0.09836345032872841,0.16433393112619007,0.27131606519399276,0.4267332509057253,0.646712034452189
AHSXYDM2OLH2JJHSW7XKDLLQARUQ,50,737,42,49,True,16.761564588292362,0.11917085073741977,0.19971261838480953,0.32413277135878904,0.4801689685682881,0.6926261504144917
AHOHXQZCEU3KDM3TPKZRNCJ3ITVA_1,50,217,49,49,False,11.31579910112636,0.0619130391441036,0.11732876372203246,0.2114544112146627,0.3655537055369118,0.5902027997140065
AGSU4BF54NFDUP5SOHAAVNKQI67Q,50,389,49,49,False,12.117002820854227,0.08658576934361983,0.13892442865651503,0.2356234551758404,0.3860452600022433,0.6060638318627272
AG2KYQ7Q2HUUJJDQ5QNJ5VDDNYHQ,50,108,49,49,False,11.545125986961676,0.06880687917096047,0.12702705185394328,0.22644548809393616,0.3793892789741627,0.597343494378084
AHZOLZNKJ2RYBU6HONMMBO3K2DEA,50,124,49,49,False,11.452464574614591,0.07464172414482421,0.13390847008190282,0.23276125756992688,0.375064533815153,0.5830615929734694
AG5HSUEH4BYPTBNEMPSDL4L3DRNQ,50,126,49,49,False,11.60717828756908,0.0649078306656269,0.12149303179023556,0.22196728395126436,0.37889672283895315,0.6098358153487423
AFBDU55MQTAQLS4EL3O34AIJC65Q,50,110,49,49,False,11.442344078676603,0.07083427363437077,0.12866225947120033,0.22925923734453024,0.39478961953743014,0.6145516029829908
AGEG5UCY42IYI2H4J5X5XNDZPENA,50,115,49,49,False,13.954437808021922,0.08851921272556465,0.14346175040133877,0.23805918417318148,0.3801826922886896,0.5895267268996498
AFJTTFFMPZ4BUCY6UE4WHHR24CEA,50,147,49,49,False,11.868035513629536,0.07971784236032957,0.1346658785745204,0.2286335920480276,0.3909037147913732,0.615612441660015
AGYOOOF3X6KSMLZIWBPMMQGAC5FQ,50,132,49,49,False,12.946235953042617,0.07388884618348805,0.13560177421066136,0.22522670267862643,0.3743897353416232,0.5967530822478674
AEFNW54XK3ARD4OBRWBS5TXURUQA,50,116,49,49,False,11.777477449602317,0.08019343177691313,0.14754777328074403,0.24794040027472658,0.4090406061235636,0.6331574083339162
AEWFDRE37ICDKBMVGFPIC3VHE2CA,50,117,49,49,False,14.180945221474046,0.08911601851211892,0.14233855791949493,0.23027383716710478,0.37866056386702795,0.6093882847150577
AG4VLC3WRWUPR4XKG4KPOXFA6LHQ,50,201,29,49,True,16.103799714193087,0.15301108364988567,0.2784498754856898,0.46195668308879506,0.6771381399334426,0.8716700830956535
AHAFS4E6NJTO64CTO5KBPTN7KF5A,50,461,49,49,False,13.466459150942343,0.07406574066099181,0.12729840082378818,0.21328656528249948,0.3581568412341478,0.5809773061629813
AFCXZMRKPFASNFASWKYGQA3KOFSA,50,124,49,49,False,12.487717283698053,0.06724119205124746,0.11527128056076541,0.20435903173341655,0.3596667730131476,0.5902141872037423
AFVTHPT46GLPZLSL64FJFXT2535A,50,105,45,49,True,11.442374911916975,0.07828745732173344,0.1480457564758339,0.2515448714716322,0.41947193959836826,0.6538546315016214
AHRVF5XWCSVGJ2EVNYGSGKATVULA,50,198,49,49,False,13.193599605961852,0.0843416625784623,0.14188142492632805,0.2320028558459878,0.39170762002805387,0.6176039076495694
AHCMBEGSVFSUHRNRYBQ7L5URHCYA,50,175,49,49,False,12.124552990912477,0.0783198463646095,0.13544474251570024,0.22826590120483845,0.3801123428055437,0.595191981485607
AENRY5O66WAAZIZDQQINVD3PLFZA,50,200,49,49,False,10.5844535160942,0.05301419456296973,0.10286905219122118,0.19421465833957177,0.3436135934011285,0.5681063405733252
AGO22BUOE6AX3PRTYLVVQKPR4R7A,50,874,49,49,False,12.71925827396952,0.07478298681653299,0.13699946387907266,0.23816600673809396,0.39498401828399876,0.6176797917992464
AELCHJO64W7III5PDR7RURIJV5CA,50,390,49,49,False,11.850504043707382,0.07754268002712497,0.15157069673435933,0.2527828473468576,0.4140346902091082,0.6354087944937244
AESS74O6T2TUXQ3QFIPNL5KBBZKA,50,100,49,49,False,11.939983717879102,0.0875233053689194,0.14789838447188383,0.2451509186066947,0.4009571051009476,0.6139284802913452
AGBJJYJ3CKEKID5PLR2QGGUZFCVA,50,105,49,49,False,12.203230654585557,0.08321068717466816,0.15141431959114907,0.2544726982129121,0.41407927787569887,0.6474993123338761
AHQ6BQIVU3QKS364JCPPPYSNU22A,50,106,49,49,False,13.045447713128665,0.10268980488032892,0.16372493179632522,0.26230542041793753,0.41331311461715464,0.6253158524131287
AGDWW6FZQJQVOH4J3TEIA3SIL45Q,50,222,49,49,False,12.778386525839247,0.0597311929632915,0.11202675458573824,0.2008811778615093,0.34801153324848594,0.5756014179623984
AFHRGIQHOS75DP7CP4ILF6RTMYIQ,50,108,49,49,False,13.108068588766168,0.07824933834640287,0.137725161215408,0.2356105596602995,0.3904938170379473,0.604498160093996
AF4WQGVF7WVIVMLLTIX4A6EMMBRQ,50,253,49,49,False,10.088711277067988,0.07760620900332348,0.13764606745175678,0.24686312416583928,0.40674283681239004,0.6282937096657781
