uid_local,n_sents,V_D3,V_P3,rank_Y
2191,215,105,30,32
2192,477,418,262,32
2193,112,48,14,32
2194,175,51,22,32
2195,217,111,59,32
2196,117,25,7,32
2197,163,55,18,32
2198,149,49,15,32
2199,401,215,129,32
2200,169,56,21,32
2201,378,144,69,32
2202,110,55,17,32
2203,103,35,8,32
2204,108,35,9,32
2205,383,195,125,32
2206,742,670,513,32
2207,262,101,39,32
2208,119,30,8,32
2209,497,413,252,32
2210,101,37,13,32
2211,193,93,33,32
2212,253,132,59,32
2213,139,55,25,32
2214,466,373,200,32
2215,166,62,26,32
2216,164,66,23,32
2217,170,73,35,32
2218,112,38,22,32
2219,331,153,59,32
2220,109,27,8,32
2221,115,31,9,32
2222,171,62,32,32
2223,140,46,11,32
2224,121,32,10,32
2225,227,93,37,32
2226,120,22,6,32
2227,102,29,9,32
2228,711,626,406,32
2229,303,131,64,32
2230,124,38,13,32
2231,189,55,20,32
2232,106,37,13,32
2233,453,390,271,32
2234,334,148,81,32
2235,188,69,21,32
2236,175,42,13,32
2237,104,23,9,32
2238,223,87,27,32
2239,176,81,30,32
2240,221,98,33,32
2241,127,29,8,32
2242,419,236,131,32
2243,157,46,14,32
2244,141,47,16,32
2245,102,15,3,32
2246,178,67,37,32
2247,117,41,11,32
2248,101,27,5,32
2249,156,56,22,32
2250,103,25,11,32
2251,141,63,17,32
2252,128,43,18,32
2253,304,114,52,32
2254,276,98,37,32
2255,142,63,23,32
2256,100,27,11,32
2257,112,32,4,32
2258,229,92,29,32
2259,165,46,20,32
2260,156,42,13,32
2261,319,146,79,32
2262,117,32,15,32
2263,113,23,16,32
2264,189,55,21,32
2265,155,50,20,32
2266,130,46,13,32
2267,105,17,5,32
2268,112,36,11,32
2269,101,29,11,32
2270,101,38,9,32
2271,235,80,39,32
2272,154,39,16,32
2273,126,32,10,32
2274,165,51,13,32
2275,227,121,51,32
2276,113,22,8,32
2277,146,42,13,32
2278,316,124,57,32
2279,547,482,299,32
