uid,V_u_A,n_A,n_B,chi_hat_B,chi_ub_B,C_B_LB
AHNI5KVLUYWSR74DWFGJIO2DUFGQ,17,55,47,0.16651248843663274,0.5274130693241621,0.5812352083539684
AG43PBRTELK3SL3WWPB6CEKFXVPA,30,119,114,0.14516379444185684,0.374416289637828,0.7789832482794063
AHK6NZZMLGYC7CJCD377RS5ZO7RA,21,81,80,0.1110759493670886,0.3847423646226873,0.5134158711019878
AHXL5367RETZF2BEVUQMHY7E2LPQ,21,58,69,0.2237851662404092,0.5206180699953467,0.6839845127547902
AE2GO5B2SWCBHIYMOE45YWL7RQHA,42,272,282,0.16001615305015018,0.3057773556427261,0.8579382328935201
AHULII452V6BL77K7R2CDQL6W57A,17,64,58,0.21173623714458562,0.533141142024975,0.5916522758635323
AH5ONINJRNZ674DXUMV4RMYIFYVQ,35,261,255,0.14763007565230818,0.30121537149422895,0.8675712427660619
AGRY3KTGY5Z55MACWOOAEW3QG2TA,22,57,48,0.07535460992907801,0.4286564328294837,0.6374441886844464
AH35V4IYG4OQVPZ3KO2Z6AN2ET4Q,29,126,109,0.15868161739721373,0.3942161659974842,0.7249850801878084
AH4IFNFCPIZXBOGTSA4ZHDMXFJMA,19,53,49,0.1488095238095238,0.5021113467099295,0.5728493353252115
AFXDUGHE725YBOVT6PQPGH4DJDBQ,19,47,55,0.12121212121212122,0.4543082742500486,0.47557989721527144
AFI4OQK2W6FV2UUKOD2NTTBPJP4Q,20,68,56,0.13246753246753246,0.45956146139501036,0.6617228619761635
AEEYSOGH32OADSTY64CSSLENPFLQ,19,46,55,0.08080808080808081,0.4139042338460082,0.5327403589678239
AGAVFN7CIWVLIDLJSMFNLJWNEDUQ,25,58,84,0.1927710843373494,0.4598421589488517,0.5976385369641463
AHKGGFWXAEA2DA7RDLFUFLJDZCQQ,34,131,130,0.14358974358974358,0.3582713422979411,0.7950224589823416
AH2DN3Q2OKAW7JAFRIYPHOUOM2ZQ,46,235,231,0.11609260304912479,0.2774922494458602,0.8225806806866174
AGN2JLIYFC6OP4HCXZGYIACLV4JA,20,62,60,0.16892655367231638,0.48492931070427603,0.5664414062354267
AH5KRM72WDRDNOETMZYTOWQGKWLA,22,75,75,0.12756756756756757,0.41211235687687975,0.6439071524268346
AEYVBSVXB2M76M3HEX4PNF7GWK2A,17,53,62,0.12585933368588048,0.436723492046658,0.6522318894499091
AE3KSRSPVCHRSTTRLBNCPOY4TE4Q,23,71,66,0.08578088578088579,0.3870776927093238,0.5349679685672952
AFA5ZLUMSIGKIIL6LM3RAQIDXCNQ,17,56,49,0.21343537414965985,0.5667371970500655,0.5728493353252115
AGOWD5ONECVVZCFHBZI3VV36WH2Q,21,55,69,0.13768115942028986,0.4345140631752273,0.5841054594245085
AFTEW2R2HDET5LSDLLGDTYCIZXUQ,31,106,101,0.12871287128712872,0.37348755435521036,0.7404340388332888
AFWVQJYN5QXGDXIGEQDKTJIAOFQQ,19,66,78,0.12321012321012322,0.4003628753881341,0.6414970103873484
AEDNUOKH43TOXPIT4LLZLNFH6DRQ,26,54,56,0.16428571428571428,0.49137964321319216,0.6835501727779255
AFNY6ZUUEAODUAPRL47MDRCWIECA,21,51,53,0.08780841799709724,0.42724982981918014,0.6008167150976835
AHQTBZRRGQHFON63FSB2VSOIXDBQ,39,236,225,0.10948412698412699,0.27303109144786597,0.8287496389266659
AGIITTS3YV4B3OCJENLDRWU4GXFQ,19,65,62,0.17662612374405076,0.48749028210482825,0.6333627148832818
AHMD6IY6GZXL2HAI6AD7KQCPKJCQ,21,47,54,0.143256464011181,0.47635261704910836,0.5655798297438002
AHGKNCWJ5LPSAJKK6ZBZF3W3AQ6Q,23,89,81,0.17685185185185184,0.4505182671074506,0.69686039334628
AGSLLUZOGIEXU3PRJIZDI2IURLJQ,20,69,72,0.1134585289514867,0.40192825938520094,0.6792108280015874
AEJAZAHPHKSLBHZNUHZTSQIVHMYA,32,158,156,0.21679073614557484,0.412767326635161,0.8523994455763303
AGDUOQYQSAWFBXRWZ4Z4BV4CGRUQ,32,122,136,0.13333333333333333,0.3432258924577434,0.7586193029521253
AH6LMTIYS5FSMP5YFOO4DGNBVCLQ,23,53,56,0.19220779220779222,0.5193017211352702,0.7290335529714835
AEJMIOC3WTHKR7JV3WFSUU6HJFNA,22,56,53,0.24455732946298983,0.5839987412850727,0.6008167150976835
AH3LF4DX4URFGTAFHSJ3HGZTDM2Q,17,43,58,0.1367211131276467,0.458126018008036,0.6111913791378998
AHFVHAHPJP5BUZNM77UCYE7BXBXA,25,87,75,0.1736936936936937,0.45823848300300585,0.6908299635564327
AHYUFOFTGNEV4TGMQLASS6EA7QAQ,23,88,88,0.1345350052246604,0.395465694103823,0.6918368298646901
AGEWYW4PFDQNZ3NWQCZECWJKET5Q,20,64,41,0.12682926829268293,0.5138520243131779,0.6429363817162481
