uid,bucket,n_sents,V_u,x_max,x_4_lam_min_med,x_8_lam_min_med,x_12_lam_min_med,x_16_lam_min_med,x_20_lam_min_med,x_24_lam_min_med,x_28_lam_min_med,x_32_lam_min_med,x_40_lam_min_med,x_48_lam_min_med,x_64_lam_min_med
AGI53IW32Q3RJYKUFQGA36JMCOKQ,2,116,24,20,0.11293678501685242,0.020543496509346025,0.005415058571417781,0.0015463775587360113,0.0004178679029107611,-2.0146641582021673e-18,-9.233929151393726e-18,-1.510870968093615e-17,-3.5787752699167764e-17,-3.860900332841793e-17,-3.5128487564802734e-17
AEYVBSVXB2M76M3HEX4PNF7GWK2A,2,115,20,16,0.07723309972770485,0.011751892090017499,0.0034236188678190738,0.0005514112656579236,-5.590889711863562e-19,-1.1320445274585835e-17,-1.751387081209244e-17,-2.434741298702527e-17,-3.162152186982462e-17,-3.879525163496563e-17,-5.0085006496267044e-17
AERILPVOZA5OUHF3XWFWFB7EV6KQ,2,115,22,20,0.07014201290686133,0.011214193091724015,0.00477995987124084,0.0007906168415400024,7.487977258561648e-05,-8.807691135173687e-18,-1.7858378151088084e-17,-1.1082418437523555e-17,-3.121242809913818e-17,-3.788671652167474e-17,-4.3085614252138866e-17
AG6WVGUFXMF4LIAR7IDGHQV2DI5Q,2,115,22,20,0.08185368308622956,0.02132554542334777,0.005376587064663423,0.0011714082033639705,0.0001394533533313225,-1.199646341124221e-17,-2.2857264011142782e-17,-2.4914853739220717e-17,-3.936324912426635e-17,-3.81236281581365e-17,-4.476122426968814e-17
AH53UQYKESG5SJQD63N4KYJXUEHA,2,114,25,24,0.07299027411647127,0.026829145946854285,0.006734772600603519,0.002409221417652173,0.0006396279915513346,2.239528177559008e-05,-1.928028608461993e-17,-1.526379774825531e-17,-3.849182285577907e-17,-3.932732828341201e-17,-3.573224703003032e-17
AH43LZPH7256CHBSEDLZL4D3XWSA,2,117,22,20,0.08387221750003641,0.023441129433318005,0.00443186296630708,0.0008788367760802212,0.00019573019531097724,-1.4738673970505647e-17,-2.0732732403098497e-17,-1.9435578107655872e-17,-3.6755642644268916e-17,-4.1730830470620815e-17,-3.8384844716077026e-17
AE2J5DDVCHVMRBD7BJ24ETJFQSOA,2,115,24,20,0.12861885783950264,0.013395399019601423,0.006268416206184369,0.002858667967860008,0.00031049671271694086,-1.0926628557118378e-17,-1.0270217160495163e-17,-2.4843969693178936e-17,-3.7581249447878343e-17,-3.585325102254861e-17,-3.464758589717611e-17
AEC6HDXIX3DNXWUVERZB4DGKFN2Q,2,116,17,16,0.07147100535564262,0.007967716645861775,0.0022869718023030825,7.697294609344975e-05,-1.2726786583133618e-17,-1.676351837772107e-17,-2.835231888320023e-17,-2.746933081719676e-17,-4.763097743480535e-17,-5.948951008241037e-17,-6.452631000522675e-17
AGCVRCNB4FGVZI5N2Z7CLE5PUGNA,2,119,21,20,0.1003490436071506,0.01666890094257654,0.004486039562815061,0.0009275844369452271,8.542106460165477e-06,-1.9610416900806837e-17,-2.47644911444527e-17,-2.7193432105496065e-17,-4.0760772705094454e-17,-4.2578393121495855e-17,-4.857495943495598e-17
AE756PEH3Q7CWIDVLOGLUM6KIEPA,2,118,21,20,0.10064533492467713,0.0119052124230435,0.0033365995956106645,0.0005341596320063975,8.695186000069326e-06,-1.5687611413686666e-17,-1.3294187140633082e-17,-2.144988579560432e-17,-4.391743771920429e-17,-4.489707939183191e-17,-4.6911135310964205e-17
AEPPMFJUVGGQXIB64J6C5DNF7CJA,2,114,22,20,0.07998799564092311,0.02412286424148668,0.003639480508520245,0.0008769793003935342,1.3955489961427141e-05,-8.202054892908107e-18,-1.211930989572694e-17,-1.7285420157771535e-17,-4.563950989538606e-17,-6.115615068144427e-17,-3.6331616166454954e-17
AEDJRZNH4XDXHVSXYQOBNR4X2PAA,2,119,18,16,0.07599420369293251,0.007218207280307919,0.0016481907418560622,8.116162847515448e-05,-2.777391207220795e-18,-1.5533836267707782e-17,-1.809980999644815e-17,-2.6646532127952352e-17,-4.564635424671693e-17,-3.619655996676559e-17,-4.519951094126547e-17
AGBHFHIPZEFAMWYB754QZ6OQLJUQ,2,119,20,16,0.07902918940408214,0.015266921622952751,0.0023184415380089326,0.00035384075221351165,5.2859861615570934e-18,-1.3485441568058517e-17,-1.6915652109275393e-17,-2.6228221833467212e-17,-3.805940502036417e-17,-4.18496040875716e-17,-4.292312122150758e-17
AE7VDEI2MEZDY7YGDKQSSZ4CU4LA,2,114,19,16,0.12319659316389679,0.013089152117772495,0.0014209179082244415,0.0001702065907132527,-9.974953709699808e-18,-1.575107026864085e-17,-2.8671915209956205e-17,-3.089631892880409e-17,-3.960533616778586e-17,-3.890387326613056e-17,-4.7822682107562596e-17
AFRRE6V4BFGXPS2RFRZNAMSUH2QQ,2,112,18,16,0.06407822997989421,0.006405552902211643,0.0008528830595835488,0.0002608052933658604,-8.961944215235731e-18,-2.420079135109544e-17,-2.0387790335609816e-17,-2.2737768737580533e-17,-3.7360285585891755e-17,-4.782025043655287e-17,-5.690415165211851e-17
