uid,x_16_KS_stat,x_16_NLL_test,x_16_kappa,x_16_lambda_min,x_16_n_profile,x_16_n_test,x_16_tr,x_20_KS_stat,x_20_NLL_test,x_20_kappa,x_20_lambda_min,x_20_n_profile,x_20_n_test,x_20_tr,x_24_KS_stat,x_24_NLL_test,x_24_kappa,x_24_lambda_min,x_24_n_profile,x_24_n_test,x_24_tr,x_28_KS_stat,x_28_NLL_test,x_28_kappa,x_28_lambda_min,x_28_n_profile,x_28_n_test,x_28_tr,x_32_KS_stat,x_32_NLL_test,x_32_kappa,x_32_lambda_min,x_32_n_profile,x_32_n_test,x_32_tr
AEBKVV4GWV4345OOUE6FSNSJDUMA,0.07966144307984402,0.11518197300327224,786.013968174625,0.009551570892033144,661,586,7.5076681391482145,0.07966634481248325,-3.616307454069765,1129.3762815769996,0.006677514160131269,661,586,7.541426112346815,0.07965863542552498,-8.206238261481444,1486.7673826932175,0.005089833836723362,661,586,7.567398931768571,0.07966861483878718,-13.647643483230235,2893.635447934587,0.0026201950653737148,661,586,7.581889321668664,0.07968867169831084,-19.898447948264778,4427.484815138469,0.0017149042209342353,661,586,7.592712397603192
AEC5AGCCT35DGIGTZ4HRI4VXUCLA,0.05122253670907778,-1.1359732935041569,876.1810927255907,0.007457319696634797,223,230,6.5339625206015475,0.051246839616077566,-5.057161104355122,1317.906520152122,0.004981989059762818,223,230,6.565795865187958,0.05125552897654445,-9.404823036778422,1885.1937434180193,0.00349365143790315,223,230,6.586209832418385,0.05119828461510545,-14.849649844285965,3365.402195866391,0.0019610355575840305,223,230,6.599673371665369,0.05119942307158476,-20.96597363711057,5069.375120930904,0.0013037963495907106,223,230,6.60943277737568
AECCWTWRVTRL36SUIZOJ5OYQDYGQ,0.1288325057159676,-0.32614971356560546,876.4151570173971,0.00662103805583535,98,80,5.8027781073231,0.12890841426458044,-3.6395903293856326,1382.8002154967119,0.004221583968864333,98,80,5.837607221883063,0.1289917894133148,-7.0247317109795855,2288.1533133181065,0.0025612831484010945,98,80,5.8606085223597955,0.1289831688005968,-11.421274705059144,3774.1133708986317,0.0015567914320620624,98,80,5.875507359445859,0.12896916355414456,-16.233235807503945,6292.141564942649,0.0009355044346890261,98,80,5.886326337694997
AECKGMR6XCQLS2CKXDI6KH46UWTQ,0.08852882071861856,0.18915862922699023,1402.902059942675,0.005553537168274278,168,145,7.791068733340194,0.08847984326337421,-3.10146749589499,2948.0631561973296,0.0026531934259064103,168,145,7.821781785179658,0.0884785719090524,-6.8031995880308305,3877.3900175288395,0.0020228771829330643,168,145,7.843483795791523,0.08841568056966698,-10.831335912084603,6813.671773808606,0.001152917629293377,168,145,7.855602308242617,0.08833178785035867,-15.210342763946764,15304.127315282276,0.0005139521968501459,168,145,7.865589854563652
AECO2ZWV634CZOOCC7MQ23TC3GMQ,0.029256762965351846,-0.7540397914015857,810.5758371938566,0.009215481864671766,521,496,7.46984692760112,0.02923184241262855,-4.655005677229629,1177.2759376710544,0.006372219093730685,521,496,7.501860208617188,0.029236710289163637,-9.237385102848801,1909.5827375333863,0.003940011480104742,521,496,7.523777908091382,0.029227020388590597,-14.62610186281241,3263.1468126795535,0.002309486171431815,521,496,7.536192439235231,0.02920991453377031,-20.99904969812263,4829.044638591057,0.0015625241975094364,521,496,7.545499098651738
AECOPBDL3PHOESNB2RXKPZSXGBOA,0.051152426566480114,-0.28420048241495044,854.7206069941509,0.008340417295535984,544,506,7.128726533425031,0.05115744020659385,-4.288539500865145,1162.499381282683,0.0061598772755747525,544,506,7.16085352163291,0.05120662269356657,-8.753914911275533,1751.4949584286985,0.0041010883978138775,544,506,7.183035652841435,0.0512015385494049,-14.303802261918362,2755.9579833817165,0.002611331368451238,544,506,7.196719532138292,0.051205702174808576,-20.736700834982976,4658.432626545838,0.0015468807757254785,544,506,7.206039875016103
AECSVEHBBVKZLBL45UNICW46HFLA,0.07068167199956554,0.8339342757903222,921.7948666028964,0.008921203166120103,201,209,8.223519282451017,0.07071111759250237,-2.7516531989205375,1441.09421876148,0.0057309925343821495,201,209,8.258900209063318,0.07072407646385659,-7.055964906114149,2063.079776682765,0.004015105427065497,201,209,8.283482807828044,0.0707175453840947,-12.228510781189632,3286.4790126917787,0.0025252043583852573,201,209,8.299031126590958,0.07071647252981428,-18.036823209493914,5175.560448320378,0.0016057463486199841,201,209,8.310637291952455
AECTRGMRKOGAYIV3YXX73CQEQCSQ,0.14252064396412933,-0.8305323409340901,748.8396261617845,0.009067117679067625,132,154,6.789817013157907,0.1425712322894822,-4.722398541994049,1544.7594368485318,0.004416531500598704,132,154,6.822478713688656,0.1425744225696879,-9.167549156635472,2163.562949553925,0.003164561530336407,132,154,6.84672807861952,0.1425630890593007,-14.386996576968784,3562.254936398593,0.001925907710811329,132,154,6.8605742498857705,0.1425566896676408,-19.38000376129635,6496.947751747309,0.0010576252909838613,132,154,6.871336256448691
AED3HJLTUSJQBBK6H6726ARBBH6Q,0.12963569972022848,1.2560913804975427,878.3792408629699,0.009156211041591655,195,241,8.042625703894421,0.12966188020803004,-1.9768017386181451,1713.5461095060687,0.004713872910365694,195,241,8.077438586263185,0.12961114741869628,-5.967660543234739,2033.4836923734883,0.0039845509716649585,195,241,8.10251942231163,0.12960434517292274,-10.95919953437096,3498.8539136091367,0.0023203894434932057,195,241,8.11870368546353,0.12958874163964973,-16.45218993434407,5499.212863168662,0.0014783694529946635,195,241,8.129868312423872
AED3PQGKE2MP7OA6YA7ITROMHQEQ,0.048636695435021124,-0.4383363190310824,1038.4289028134485,0.008409045321335745,318,296,8.73219570674324,0.04871940562556319,-4.315163293719516,1540.4547896847564,0.005690607184792729,318,296,8.766123094028448,0.04871847935697503,-8.565029721724157,2201.0294293914867,0.003993637218661646,318,296,8.790113048587445,0.04871854701509924,-14.063099862443243,3417.9434598094012,0.0025758097797640945,318,296,8.803972190457781,0.04871806910008357,-20.274359044168754,5516.819266271494,0.0015975925244802159,318,296,8.813629218703769
AED4A5D3XDKTGB566GFP7YQLSHBQ,0.05367980461205335,-0.9360060726134257,1010.5427933684448,0.007960373389830784,222,270,8.044297961615436,0.05355835379951368,-4.791597340497369,1723.9528595909023,0.004680868820111066,222,270,8.069597187800365,0.053546215824408605,-9.383998381687368,2386.0518092865786,0.003390879212408128,222,270,8.090813479838662,0.05353455825685588,-14.90717176111832,4306.264508352925,0.0018815684195529897,222,270,8.102531305158745,0.053541473532995376,-21.131674846460673,6802.7470518693535,0.0011921976917284682,222,270,8.110219332651285
AEDIN436FJT2VQGGITVASPGVSDUQ,0.07248990458523293,0.23236185710803567,994.8241295424456,0.007962855552501478,202,208,7.921640843689513,0.07248760334700168,-3.110780393281854,1553.0742205132171,0.005122418571410043,202,208,7.955496229935079,0.0724692430928048,-7.344751732972002,2361.803485338146,0.0033791348064343154,202,208,7.980852363264007,0.07243821006462732,-12.621831423091264,3175.892454068073,0.002517600907819679,202,208,7.995629725499449,0.07245787047642412,-18.316740585677525,6343.925282266889,0.001262007393856754,202,208,8.006080612295609
