uid,user_idx,n_profile,n_test,intra_spread,inter_user_dist,separation_ratio,mu_p_norm,mahalanobis_test,lambda_min_profile,trace_profile,cond_med,det_ratio,kappa_profile
AGVQDS3VL7L4TVNVITE7AJOANDTA,68,19,1,2.043090343475342,3.5792898011930063,1.7518999160382478,1.950659155845642,10.347710994594443,0.04932762589745885,4.802591687822342,0.46108930079677435,0.8484445776868982,9.347486168405435
AF35KUQK45LLCSVCNP7SWL7THESA,69,19,1,1.8516771793365479,3.4026996234450677,1.8376311278320383,1.597602128982544,5.682663440589659,0.07646324566172025,3.7859818749666214,0.3108948129937169,0.9960122586372222,4.065937958861195
AERLC2UDULN7N5FQATSWDM2U4JTA,70,19,1,2.7166876792907715,3.929147068900291,1.4463006177898405,2.5740487575531006,48.99609313025132,0.0763755325923272,9.156712763309478,0.4592620031382698,1.2082837048814759,6.013208517833733
AHDNIUCTSZAY4XEMCN3QKD6NHY4Q,71,19,1,2.3543689250946045,4.13370472252971,1.7557591244386677,2.8410768508911133,8.44537466767012,0.12323365498052943,6.534252527999877,0.5042767835441061,1.0220859782419138,4.092037874100061
AF6UTAVRR3K743WXQGBER7HSAAPQ,72,19,1,2.1579015254974365,3.701332429442743,1.715246217544388,2.2005202770233154,31.59347710626448,0.09628178537392124,5.048639468240738,0.5017127908988857,0.9021983451832533,5.21087959628529
AGXBLKRDWSQC22LUPEBX5SIOQVWA,73,19,1,3.0119216442108154,3.8299677889756483,1.2716027312122118,2.488870859146118,16.016049613568878,0.11204611744157168,10.296230672693252,0.576258111114245,1.123501638247296,5.143043991816533
AESVJJ7VSHXGXUARIQSRC5UM3XVA,74,19,1,2.5871739387512207,4.1167212736727015,1.5912039047748618,3.1369588375091553,6.541961370367629,0.1463597196267796,8.069309395599365,0.7441316732090676,0.9386811449488732,5.084265500826452
AEAYK5TRLFC5J5MMW2VZ5UOVYJUA,75,19,1,3.064767599105835,5.078387349542945,1.6570220042213302,4.114295482635498,22.97859167437749,0.0550853824876808,11.23722517786026,0.6795826697164,0.8185695707682968,12.336896632575451
AELBFSL7STN2GUP3BAWKSOXJWYUQ,76,19,1,2.590745687484741,4.258838499435271,1.6438659031678324,3.189026355743408,31.48798651773472,0.07366393869745222,7.589359614801406,0.4620460511019124,1.0210350485348985,6.2723506137731535
AGH3O5QKKBVBNPHPAP6DQ63HBYKQ,77,19,1,2.4217052459716797,4.372684885757138,1.8056222544138116,3.261312961578369,12.682414800278975,0.10271763497815978,6.440882678508759,0.5418339275467088,0.9323000781652192,5.274984452883048
AFMTB6XAI3YBCJVTOGKOFJU3LUOQ,78,19,1,2.518575668334961,4.071727692478835,1.6166787218946923,2.917079448699951,6.788027421219578,0.09515867250070154,7.796722526645661,0.4192991848133475,1.1461074039665609,4.40631603819669
AEH6WQXNWZQA3ZL4T4LMXZ4OGW4A,79,19,1,2.7873966693878174,4.682824447901562,1.6799992980295941,3.437904119491577,25.05227544838009,0.12918635451615476,9.719990361118317,0.547481378032684,1.1081328952923688,4.237919554918793
AFWICO7S6CSLJETX6O4DTDQIWUGQ,80,19,1,2.68806529045105,3.735836705776176,1.3897864456816498,2.172994613647461,20.4875503294467,0.05248368479473702,8.991377444267274,0.4165294950552538,1.095919878842382,7.93636149375363
AFVTHPT46GLPZLSL64FJFXT2535A,81,19,1,2.8728349208831787,3.643821461032135,1.2683713340242804,1.9883166551589966,5.556084770031752,0.11529311371818385,10.10224300956726,0.8910616853963593,0.7581468687928509,7.7286635485829756
AGYGB42MVBQ4X2XNEX45VHJD7GOA,82,19,1,2.206223487854004,3.9410085051950783,1.7863142727342196,2.3972299098968506,6.2167622867909405,0.1371347596979065,5.482601261687279,0.4765232261975825,0.9795522431170135,3.4748536931651257
AEN6VLVSAZEINQOVKNFAL6IG65OA,83,19,1,1.9371938705444336,3.667378461722172,1.8931396167857393,2.3279316425323486,6.502499638423291,0.08903140808115408,4.534175504684448,0.36325981496719895,1.0311245482533111,4.0801310772944275
AF6M3QM4HCJWGINCDUKAAH5IQ5XQ,84,19,1,2.6714789867401123,4.105354530642731,1.5367347267261546,3.008176565170288,22.255530084652126,0.08580969317184549,8.18874553208351,0.6800322726744539,0.8896081036551887,7.924888757178021
