user_id,N,mu_norm,sigma_norm,ratio_sigma_over_mu
AFZBRVQRMNE3RV6MZUYG4E5MZP2Q,100,53.2955,327.5487,6.1459
AEMMJOZ6MN462IVHK6GDTN2OWT6Q,100,287.6997,324.4536,1.1278
AGK7LQIMYOFD5UR6JTJYQNQHIP4Q,100,160.1741,411.3896,2.5684
AEIGRLFPH5Z3EQ73Z23CJ3WX6R6A,100,90.2004,292.0282,3.2375
AGVKHVURH5XGP6335AZCMGNTAAMQ,100,107.6029,297.7361,2.7670
AEJE3IIDZTTU3P36LWRHKGROEVIA,100,109.4762,340.1938,3.1075
AGBMWG5RST3LJWQ2YSOEISPVKSBQ,100,125.4534,354.5266,2.8260
AF4MF2TEL724JVL42HY3LH2EZEOA,100,199.9852,397.8774,1.9895
AH5ONINJRNZ674DXUMV4RMYIFYVQ,100,76.1160,387.9045,5.0962
AF7TP6AYY2MOQ5YZ7UZN2U53GY5Q,100,114.5929,328.6154,2.8677
AG2XUDCCLTNCSR4AEIZ4UHZRFOSQ,100,133.6156,300.1523,2.2464
AE6SPZALZWZRHJVUFJD2YZWQ6LXA,100,191.2879,282.2189,1.4754
AHOEMNCGNZJMIS5RHBTTKMDDQU3A,100,166.6093,267.1797,1.6036
AG7PZ2PX5RJBIQYTFNIRY5QOWSOA,100,160.8020,206.9922,1.2872
AENGGJFDKQ2NVKLH5AASUYFZMXXQ,100,103.9216,302.8302,2.9140
AHGFE65TS742WVLX5LVITKOZM2CA,100,26.3479,282.2173,10.7112
AGN5KJZU3FYSKVWXWM66LXYWL5CQ,100,110.9913,306.5220,2.7617
AECKJ7U2IZYLGOYRGP62GJECL4GQ,100,85.1575,337.7263,3.9659
AHLA24J43UD2AKTINUBUWKEDPQHQ,100,164.9762,265.5512,1.6096
AE3RLEXEQRD2K7SCXE7HBCOMRDTA,100,216.5057,374.6490,1.7304
AEB2KGGJANOW27FHME4SJ3IIFGIA,100,84.0007,360.6975,4.2940
AGAG2PQ2KCR5GMH3CMIBKCBOZQSQ,100,228.2029,233.4894,1.0232
AHDKNBCGKFE7YQJCLD5CSAVGDKTA,100,37.1585,317.1104,8.5340
