user_id,N,mu_norm,sigma_norm,ratio_sigma_over_mu
AF77WIID7TAGOWST2NGGZQIRMEOA,10,534.5667,206.4068,0.3861
AGC75KXFQTQTZ2RODT3RT4GNYIJA,10,689.1572,170.2798,0.2471
AELU7VBQWQH7VMYK6Q3CIU5C43RQ,10,492.8295,194.3974,0.3945
AH7EYATKZABJLZPV74F2UTJVZZKQ,10,564.0239,181.2568,0.3214
AEESOLSSR4LALOZ372WQ2PZBLLSA,10,752.6108,318.6970,0.4235
AEJKZRNBES64Q4UGI2WK6DEPL6OA,10,640.3015,405.4715,0.6333
AF43BDFHZRMABFFB57FXB5RVIXAA,10,581.4834,334.0253,0.5744
AGSIU3JOYC6CJLFFB7APDN3UGSHQ,10,518.2104,157.6757,0.3043
AF4AYT2KDUA3BZUYDOV54XGILQ2A,10,603.0677,412.8876,0.6846
AGW7SXB5FPGXDQKSUWGAGBTIUCKQ,10,885.1243,162.8947,0.1840
AEVZGLYUEQEYH3ACTQCPBU65KIKQ,10,807.7764,246.4415,0.3051
AFDNVPMB44ZS5O2CSJTL47BI2QTQ,10,807.8389,375.9858,0.4654
AHZGQXTGR3WB6CQR3PP2TB2YPTUA_2,10,514.4954,180.1283,0.3501
AFACZSTCNX6VMUJQGUK3YVE6CK5Q,10,866.7802,286.1577,0.3301
AFWG3VCBDRXV4MMDNVOFWS7J4TDA,10,547.1533,322.4191,0.5893
AGFUGF7QX5W4NIJ5NJISSMNZIILA,10,627.5511,278.4154,0.4437
AEBJEFYQMDZGCOGQMVO5OUL7C6TQ,10,790.7146,353.9908,0.4477
AH42YC4C6K5PQ4ZMRZXRRGKELWCQ,10,1012.5005,402.3172,0.3974
AFVOZ4UNUZKEQ7GTQ3IHQY7PZ5FA_1,10,726.3726,270.5950,0.3725
AEIIRIHLIYKQGI7ZOCIJTRDF5NPQ_2_1,10,761.1641,384.4742,0.5051
AHAZFJIG2P27OH4KLTR2SMWMKW6Q,10,623.0556,241.9226,0.3883
AHPG65LKS3QKRWDUWAKZNLEK5RZQ_1,10,905.7092,305.1783,0.3369
AGYAFULM2L6YNLWUQWAM6SKXYGVA,10,900.9384,272.6522,0.3026
AE5MYIUHLA3BAMM2MFJXJQN6UPRQ,10,944.4059,340.2048,0.3602
AHZRUCQACCVHJ5W7VTYWOTZICVAA,10,625.6086,215.9603,0.3452
AFFSSZFCSN4TEOSSF23HO7ZOYD6Q,10,438.5080,138.9588,0.3169
AHVSRNKOWB3QKDODMMYIBX4MGZXA,10,781.2253,206.8836,0.2648
AE2B5CUQIA5ULZCR34UOPOXROEPA,10,649.9683,389.1154,0.5987
AETXGCF36FY7PP3RNVGTGZVWXO7Q,10,611.0677,316.6747,0.5182
AFMRNKCMPCQ5LK26BNF6TCIOUJOQ,10,607.3330,258.7744,0.4261
AFCMHYJTBQ6PGQWDCDWX2KP4GJ5Q,10,832.4639,297.6730,0.3576
AHNDQTIDT42KUEXE7PRP45ODX5IQ,10,908.2247,348.2933,0.3835
AGBWD5VMK2NVIAIXF7OINPOSC46A,10,1113.1759,204.2719,0.1835
AFQGXKKBN5V3V5V7CY42FCQTAYHQ,10,669.6235,345.1953,0.5155
AFO33UNM62QYS3SHDST3HB2SXSXQ,10,687.7562,123.4256,0.1795
AHS5FPE6RHE4ITJ4SAVI67YVRNOQ,10,892.6463,232.0523,0.2600
AFXKCGO537IZNJ7PULRMGKGU67RQ,10,669.9479,266.1412,0.3973
AGLWDF5SJNRNIW2HHSD6ZPADUHQQ,10,458.9857,133.9896,0.2919
AEE33OSHYGNPVW65BJVDZQ5QWWUA,10,444.1513,222.9170,0.5019
AF7P3N4WIHMAVATNPD5MCDI5Y2KQ,10,717.0175,375.8969,0.5243
AEIOYAYGE2AU7LWLFRYRX4XPOWIQ,10,763.9925,170.6099,0.2233
AFLOM6HXIM7CJECSEUDVO4I3JXBA,10,714.2502,385.8403,0.5402
AGPIQK2GLZQLAF3BOENG2KHDXFVA,10,515.3196,160.8197,0.3121
AE23NZUELB4BYWLHKWJXAS73PTSQ,10,469.5162,198.6258,0.4230
AF7R4OC3YUOI77VS55Y3B3XSN2OQ,10,665.8671,178.3264,0.2678
AGK6P7T6FVUJW7W7Q5UJKJWF3NGA,10,819.6445,384.4445,0.4690
AFUAKR7T37ENPSFCNQFHAAWRCVLQ,10,457.0838,193.9489,0.4243
AF6VZKYEJNO5IW6KCGKGZBMDKORA,10,632.0029,320.2404,0.5067
AFCE2BOTILWKUHLAHIK5QHTOPFJA,10,811.3120,462.7485,0.5704
AEYSO6GNRBHDXBDQ643LNCN5W7VA,10,819.9968,205.0639,0.2501
AFUCVWOPZLX7CRPZU4OLX4BWVINQ,10,1162.7236,282.4503,0.2429
AE5IMGWRBJA7JQFBQTBK25HDYGVA,10,642.2072,243.8354,0.3797
AHAUPRV26D4WPQN2JIJUWUZQM7WA,10,1072.0664,306.1458,0.2856
AGLGCQJ6R7DK2HOZRYGHMQ7D6BTA,10,577.5220,287.4021,0.4976
AEVIVDBW7OKSXHS2P7KPTBSPPU7Q,10,852.0668,234.5134,0.2752
AET4MQOLSTJDNAS27VF6JATZECGA,10,924.3254,281.5513,0.3046
AH5VDE2Z5X2ZBRZ3IYMSCVW7ZWFQ,10,694.0547,224.5376,0.3235
AE6JXZ2HEEC3RLKQ23MI2JSCXSNA,10,870.8396,343.2287,0.3941
